name,datetiem,text,rate
Supersonic,2018-04-03,我只想说，抛开死亡崇拜，如果胡波没有死，单纯以电影的角度而不带入其他信息，你们会如何评价这部电影？,还行
阿城1991,2018-08-15,作品十分青澀，台詞和人物運轉都是在導演推動下完成的，以至於缺少了人物本身的靈魂，彷彿木偶戲一般。將近四小時的片子缺少對於節奏的把控，整個影片為了喪而喪，就差導演從鏡頭裡爬出來指著我鼻子說，嘿你看我是不是很憤怒，是不是很喪啊，你有沒有看出來我想表達的東西啊，我的長鏡頭是不是很牛逼啊。去你大爺吧，這片子除了預告片不錯，別的真心差，差到家了，就算重新剪輯也掩蓋不了內容上的貧乏。,很差
大瘦瘦,2018-04-06,他目睹两起自杀、心爱之人却早已离去；他为人出头落荒而逃、不承认身份证上的名字是自己；他亲手把死狗扔到臭水沟、目光扫过养老院每一隅；她嫌母亲比副主任更恶心，挥起铁棍打出致命一击。这是一帮狗逼对抗这个丧逼世界中更多狗逼的故事：到不了的满洲里，看不见的大象，这个国家的人怎么都这样邪恶？,推荐
舌在足矣,2018-04-02,如此生活三十年，直到大厦崩塌。远算不上完美的作品，无论是粗糙的混音还是略显稚嫩的台词，但调度与运镜实在是太出彩了。这几年不少国内独立制作都喜欢去塑造这种一片死灰、丧到极点的环境，这部片无疑是最成功的,力荐
name,datetiem,text,rate
儿 子,2018-03-22,世界狭窄，理解狭隘，才华可观,还行
王大福,2018-03-21,新闻报道比电影本身好看太多了，也就是这戏身后的故事比电影好看，没必要把这片捧上天吧。观影现场也不是什么“四小时没人离场”，来来去去的观众老多了，大门总开开关关的。,2018-03-21 17:22:49
不语,2018-10-21,"这电影不行。
导演过于自恋：所有的角色其实是同一个人，就是导演自己。不管角色年龄职业经历性格心性，说话办事一个调调。都因他缺乏阅历所致。
他戾气太重：所有的角色在面对任何问题时，全部在发泄情绪，没有一个人是去解决问题的。如果全世界都欠你的，可能因为你是中二吧。
在表现方法上，他表达的东西就那么点儿，浅薄得很，观众一眼就明白了。完全用不着这么冗长，浪费大家时间。
人品不知，作品真不行。违心叫好，才是对艺术和对他的不尊重。
",很差
二十二岛主,2018-11-13,金马影展第13场。等了近一年终于在大银幕上看到了，就不说我自己对这部影片有多喜欢，说一个小细节，进场时就注意到戴着白帽子的侯孝贤导演坐在我前面两排，四个小时他很安静地坐在那里观看，当胡波的照片在大银幕上出现时，他很用力地鼓起了掌。胡波导演天堂有知，应该会有一丝欣慰吧。,推荐
表姐电影,2018-07-21,我觉得这并不是一个很绝望很沮丧的电影，反而充满了希望和力量。非常喜欢电影的结尾，他们去满洲里的大巴车停在荒野之中，四周群山寂寥，没有星星，只有车灯打出一道光。突然，不知道在何处，席地而坐放弃挣扎的大象，发出几声震耳的嘶鸣，这种力量，可以划破黑夜。7.21 FIRST电影节,推荐
不脱袜子同学,2018-02-27,感受到导演对成人世界的厌恶和对前路的悲观。片中的成年人几乎都是负面形象，恶心的母亲，失败的父亲，油腻猥琐的副主任，自私的女儿和懦弱的女婿……是很用心拍摄的作品，但是客观来说很多地方确实可以删减，包括最后1小时都可以做大幅度的减法。真的很惋惜，艺术应该赋予新生命而不是终止。,推荐
二月鸟语,2018-07-21,那头大象为什么坐在那里一动不动，因为它早已放弃了抵抗、放弃了挣扎、放弃了为自由而冲破笼子，它已经接受了发生在自己身上的一切。而片中的人物为何都争着想去看看那头大象，他们是想去看自己么？并不是，他们甚至都不知道那头大象是否真的存在。荒诞的人生并不是因为这个世界的荒诞，而是有了人类。,推荐
何小沁,2018-02-19,四个人终究在坐着的大象身上求得了解脱，可惜在比电影更残酷的现实世界里，胡波却没有。影片摒弃了一切主流，工业，取悦的表达，在作者第一部也是唯一一部长片作品里，进行了一次极端，彻底，自我的释放。尽管外表粗糙，戏剧结构、场面调度、演员掌控都颇为出色。//FIRST二刷补充：后期补完后观感提升很多，不再因为技术瑕疵偶尔出戏，没有一分钟多余。一刷看故事，二刷看视听语言，胡波力求每场戏一镜到底，剥离出主体，配角都是失焦的，但画外音画表现空间又很丰富。章宇和彭昱畅太好。其实几个主人公都在问为什么，人怎样看待自己的痛苦处境，到底什么因造就了什么果。坐着的大象真的很有看头吗？出路到底在哪里？可惜胡波也无法作答。结尾黑夜里那束天堂一样的光、基督赞美诗，大概就是无解之解吧。这是一场梦，谢谢你，胡波,力荐
碗三儿,2018-02-17,"几个很喜欢的地方:1. 每段主人公行走时摄影机跟着主人公背影的长镜头，还有花伦的配乐，彷徨失措之感淋漓尽致。2. 最后一幕车灯照在夜路，踢毽子群象似真似幻。有些像贝拉塔尔，尤其是""大象""这个意象令人不禁想到《鲸鱼马戏团》。有些镜头大量的留白让人闷得喘不上气，但有些镜头确实多余。",还行
永隔一江水,2018-08-01,像一个小学生在讲述他对世界的认知。,很差
何倩彤,2018-03-24,世界沒有那麼邪惡，甚至比破爛垃圾更平庸。死胡同也或者是言過其實了，只有風從漫無目的的空礦刮過來，吹得人頭昏腦脹。,2018-03-24 18:45:16
DS,2018-08-02,"1.尽快和这个世界和解，别拧巴，把时间用在增加自己的能力上。否则导演的悲剧永不绝。太多地方和行业都是在凭真功夫生存，别妄想偷奸取巧
2.反面教材电影，论“如何拍砸一部电影——滥用长镜头”
3.可怕的是电影如此贪念不自知。表达的东西？真以为别人是傻瓜看不出来要表达的肤浅的东西？冲着空气骂这个世界多混蛋，这种笑掉大牙的表达？关于混乱，这种非理性已经是病，要看医生、要注意。
这些提醒不是刺耳，而是说的太少，听进去的更少",很差
Muto,2018-08-01,非常遗憾胡波的第一部也是最后一部长片要是能短一些会取得更好的效果。这个用时间努力书写存在感的故事暴露出年轻人普遍迷茫的状态。然而作为时间性存在的人毕竟不是静坐的梦象，倘若他在拍摄这部作品前彻底想通这个关于“我是谁”的问题，即便没有《大象席地而坐》这部最终要靠死磕获得“胜利”的作品也同样是一场胜利。,较差
IllusoryPrint,2018-08-07,我没有资格去评论胡波的死，就作品本身而言，这是对贝拉塔儿的拙劣模仿，弄成一股气死沉沉的青春伤痛文学气息，不如再刷一次《鲸鱼马戏团》。,较差
不良生,2018-08-03,你听过人类这种丑恶的东西吗，所以他们才要编造一个大象的故事；你见过人间这个丑陋的地方吗，所以胡波才要消失变成一只大象；你经历过人生这件丑诞的事情吗，所以孤独的人才都要去满州里看那头动物园的大象。可是火车都开走了，我们发现自己还被留在原地。,力荐
赛珞璐,2018-01-28,17年最喜欢的国产电影，看完用了好几天才缓过来。,力荐
豆瓣浅度用户,2018-02-21,调度棒，表演好，对白赞，导演的镜头感真是没得说。时长还是太长，但瑕不掩瑜，再剪掉一小时就完美了。《小寡妇》发生在承德，《大象》发生在石家庄，包围北京的河北省有一种这么近那么远的陌生感。,推荐
徐若风,2018-09-22,"4.5 如果粗暴地想象，可以把脱胎换骨的彭昱畅看作胡波的“代言人”，去见“看不见的大象”。
彻底寒凉的绝望中不时泛着矫作的愤怒，惊艳绝伦的镜头调度与叙事上的才华被一股子“社会即暴力”般麻木的笃定拖着向前走，没有尽头也不见后路。
但是，哪怕“生”没有意义，寻找意义的路径也不该被封堵、丢弃。活着不是一个关于撑不撑得下去的幻觉，它也不会在哪个时刻或不同的地方就会变得有多不一样——即便是痛苦，也只能被“生”所感受到。哪怕是陷入绝境的人，出路也永远会有的。自由赋予处境意义，而非处境决定人的选择。
不要让自我被这个社会的暴力所埋葬。能活住这样一个念头，便足够了。",力荐
有趣,2018-08-01,值得为电影献身，但不值得为这部电影。,还行
灰不溜秋,2018-02-18,“看看你的周围，不要再假装中产阶级了。”（还是有点太长了）,推荐
name,datetiem,text,rate
战将波舰金,2018-02-21,一条路上走的太远,还行
LEONDADADA,2018-08-09,一星给电影和导演狭隘的人生观，一星给可惜了的生命。再活二十年，也许你会发现生活并不是这样狭窄，也并不是只有黑、白和愤怒。可惜。,较差
刘小黛,2018-07-21,每个人都在求索新的希冀去逃避现实，然而当下的状态依旧无处安放。生活就是一堆垃圾，清理了一块，还有新的垃圾出来。它放大揭露了心底最灰暗的部分，大象嘶鸣，他没有和世界对抗，挣扎中还是向往光明。韦布说“我可能是最后一个看透你是个烂人的人。”也许胡波也是最后一个看透这个糟糕世界的人吧。,力荐
有寂,2018-08-04,“你以为别人是傻逼看不出来你想要表达的肤浅的东西？,较差
焚紙樓,2018-11-17,2.5星。對生活中的一切都急著想找到解釋，就是還不夠了解生活，即使是偽藏在老者敦敦的對白中也一樣。,较差
本地有机斐济猫,2018-09-14,让我找回了看早期伊纳里图的那种感觉，另外也没有见过这么偏爱后摇的配乐，后半部的风格很像mono 。不过最让我感动的是这个作品说出了一个实情：青春其实是很绝望的，随便一次失恋，一次考试挫败，一次违纪都会让你觉得走投无路，因为那个时候你觉得世界应该是完美的。,力荐
烤芬,2018-02-17,“世界是一片荒原。我很感动。”一天时间，四个人物，四个家庭，三条人命，一条狗命。象的席地而坐乍看是消极意志，其实某种意义上也是积极作为。膀胱觉得长但脑子并没有，镜头很长但眼睛并不累，尽管有明显未完成的痕迹，尤其是音效，有些台词也有点不像中文，但总体是相当无痛甚至有些舒服的四小时。,还行
kakakarl,2018-08-02,"可现实中的满洲里没有大象，现实中的人没有办法去满洲里看大象。
生活的困局，去看大象也不能解决。
#高三那年我准备离家出走，我跟所有人说我要去新疆，但是我离家出走会去西南，我要去凯里，那时还没有“凯里布鲁斯”，但是我就是想去凯里。
跟电影里去找大象的人一样。
但是我最终都没有离家出走，到现在也没有去过凯里。",推荐
btr,2018-03-26,#HKIFF# 四小时版。冷淡沉默（也掺杂了几个以喊叫表现情感浓度的段落）老年版达内兄弟附身电音慢速『能面』青春公路电影。,较差
小楼吹彻钰笙寒,2018-11-18,二倍速看完，感觉时间还是被浪费了。这部电影才是真正的怼天怼地怼出奇迹，竟然能拿奖。说实话，除了部分长镜头设计还行、配乐不错，真看不出哪里好。看了下评高分的热门短评和长评，大多都是说很丧以及表露对死者的敬意。我的豆友给分都是三星及以上，而我只想给两星。最有趣的是有的说丧得假，有的说丧得真实，看来大家对丧都很主观。专说电影吧，凭良心说，这部电影真的好嘛？首先，剪辑让人尴尬，很多转场都非常生硬。有些长镜头没必要，简直就是在拖节奏。以及，狭隘的价值观，把生活中最操 蛋的事情集合到一起，骂一通发泄，到底多丧（我觉得这不是丧，这是戾气）拿不准，台词真是迷之无奈。人物类型化，没有区别，都是同一类人，都是导演的化身。看完后，我将评低分的评论点了赞。分数虚高，希望未来等风头过了，有人能理智地评论这部电影。,较差
Lucius Fabius,2018-07-14,"很漠然而绝望的镜头颜色和镜头语言，依旧是模糊着浪漫主义着反映了现实的一角和胡导的内心问题。
踢毽子，就是结尾，又是一个类似的含混的结局，用浪漫主义的幌子表达自己在虚无幻灭前的无言以对束手就擒。
而他被称颂为过于纯洁的艺术家之死，在我眼中也不过是一个没有长大成人的孩子暴虎冯河而已。",较差
Spring,2018-02-23,3.5星吧。逝者为大。导演的确是挺有才华的，屡屡感觉看到一些大师的影子；但对我来说，一直有点儿难以入戏，优点和不足都是比较显著了。如果是其他导演，我会想说，以后能做的更好。但是对于他，没有“以后”了。,推荐
兰蒂斯,2018-08-02,这么看王小帅批评的完全正确，艺术应该是克制的，而不是作为导演个人宣泄愤世情绪的工具。,较差
shoegazerbaby,2018-09-09,接近4个小时令人窒息的真实和沉重，感叹导演年纪轻轻都经历了什么才拍出这样的电影，优秀的演员们，紧凑不安的剧本，素净灰调的摄影，冷处理的分镜节奏，整体完成度都在中上水平，可以说是瑕不掩瑜的长篇处女作，群戏时长确实会比普通男女主角的电影长很多，无奈电影公司水太深，导演的自杀有自身的情绪问题，但更多的应该是对现在整个利益至上的恶俗社会充满了绝望，只能用生命换回作品署名权，除了理解就是可惜，虽然没人真的会了解另一个人的内心，同是抑郁症，无药可救只能学着放过自己，跟周围和解。,力荐
此A无码,2018-08-12,这类剧本真是万年不变……没啥新东西……中国人的格局什么时候能往世界观，大局观，异次元世界走走，或许会有多一些耳目一新的东西。我不论导演的生死，那些拿导演生死说事的，本身就是对作品的不尊重。因为人死了，所以才说作品好，是对作品的侮辱吧。,还行
三千岁,2018-08-02,230分钟版本，没有开篇字幕、也没有结尾序曲，有的只是几声大象的长嘶。《大象》的天空永远是灰色的鱼肚白、永远伴随着轰隆的背景音。后景永远是虚的，似一道屏障，阻隔了正常的喘息。电影里没有幸福的人，毫无相干的几个人戏剧性的被捆绑在一起，唯一的共同点是都被现实所困，且没有出路。这种朦胧的沉浸感、人物略显深意的对白让电影有了一种底色，桀骜中有无奈、放纵后难释然。一部让我同时想起《牯岭街少年杀人事件》《天注定》《大象》三部的电影，整体大而有型，剧情走的较稳。几处相当精彩的固定长镜头以及自始至终的不规整构图、手持式跟拍等。画面以及配乐营造出焦虑、压抑、紧张的观感，事件的冷处理以及感性的认知与冰冷的现实世界互为关照，但无法相容。斯人已逝，唯生者苟活。席地而坐是跪着的姿态，人人都有向往站起来的权利。,推荐
汪金卫,2018-11-14,【台北金马影展展映】展现出的问题远远多于才华。剧作文本性、台词书面感过强，不少演员台词功底不够扎实，结构也显得刻意生硬。几乎每个主要角色都是郁郁寡欢型的同一模板，行为语言如提线木偶般被编剧操控。满洲里和大象的符号，很是莫名其妙。控诉有余，深度不足。没有挖掘社会性问题。从头到尾串联的长镜头时间过于冗长，内容显得空洞，其泛滥使用也让人疑惑其必要性。应该可以剪到2小时左右。章宇的演技明显比彭昱畅高出好几个等级。配乐给影片加分了,还行
黄小邪,2018-04-10,老中青三代人或许都是导演的化身。自恋自傲与自暴自弃的结合体，悲观与执着两面物。剪到200分钟或三小时以内会更有力量，因为最后一小时神形有些散了。音效还可以更好。运动长镜头与表演贴合很好，画面暗乌的雾霾感是时间紧成本低还是导演故意追求的效果？点题说教的话有点多了，想起杨德昌《麻将》。,推荐
zitsunari,2018-10-06,儘管聲音糟糕，部分台詞文藝病，以及片長確實可以大幅刪削，但這些都不足以阻礙它一騎絕塵地將同類藝術電影甩出好遠。何況還有胡波在戲外無意間和角色命運形成的互文。彭昱暢真的應該好好感謝胡波。,推荐
搬砖侠,2018-07-21,FIRST开幕第一场。大象席地而坐，是对生活失去了希望；我们寻找大象，是为了对抗那无尽的绝望和痛苦。作为青年导演的处女作，确实非常有灵气，无论文本还是镜头语言都有惊艳的地方，尤其中间有几处段落堪称神来之笔，结尾尤其出色。缺点可能是确实有些冗长了吧，未来想走院线会很难,推荐
name,datetiem,text,rate
竺.不二.哼哼,2018-08-02,"继凯里之后，满洲里也将成为一票文青的圣地，只是这块圣地满是墓碑，有一块墓碑上这么写着：
这个国家的人为什么这么邪恶呢？为什么年纪轻轻的就这么邪恶。总是你走在大街上就有个人要跳出来砍死你。
大白若辱，大方无隅，大器晚成，大音希声，“大象”无形。",推荐
哲賦涵析（手襲,2018-11-20,无病呻吟+群体的皇帝新衣式膜拜促成了这么个评分吧…呵呵 一个意志力不坚定的人死了，让一大帮loser找到了共鸣而已～,很差
sTill-Life,2018-07-22,影像处理非常风格化，特写、小景深、长镜头跟拍，制造出局促、焦躁、步步紧逼的空间感，一呼一吸间感觉到摄影机背后的人与影片共同存在。故事中四位主角的命运在一天之中紧紧纠缠，愤怒、冲撞、惨败，所有的一切汇聚到深夜山谷的一束车灯里，瓦解、消散、重构。几声象鸣把符号化的希望定格在瞬间。影片中的电音配乐在一个个缓慢移动的长镜头里涓涓流淌，撑起影片每一分钟该有的情绪。# FIRST 本命年 开幕影片 - 7.21,力荐
丁一,2018-11-21,胡波在满洲里电影院门口，跟二道贩子黄牛党王小帅买了一张票，要去看偶像贝拉塔尔。胡波没想到，王小帅卖给他的是一张假电影票,还行
有心打扰,2018-04-05,绝望的人生是如此相似，除了那个小女孩，我看不到任何一个快乐的人，每个人都在生活中苟延残喘。,推荐
Siyu Huaaa,2018-11-13,你说胡波拍得好吗 他拍得太好了 而且是渐入佳境的好 是目前为止最值的一场金马也是观众鼓掌最久的一场 但是太折腾人了你知道吗 太折腾人了 这片子里的绝望就跟传染病似的 四个小时 一点儿一点儿把你给泡透了 我入场前无意中撞到李安的激动完全被磨没了 哭也哭不出来 心里堵着又下不去 将近一半的时间我都在看人物移动的后脑勺 头晕眼花 太受虐的一部电影了 结束后胡波的妈妈上台说“谢谢大家来看”  谢谢,推荐
一匹马赛克,2018-08-06,"不喜欢《大裂》，也不喜欢《夜奔》，但喜欢这部《大象席地而坐》。
中国三四线城市绝大数的日常真是全息式投影的悲剧文学。
极强的文本气息和充满灵气的长镜头处理高出同龄导演好几个身位。戾气又荒诞，绝望又温柔。挥手自兹去，萧萧大象鸣。
喜欢作为导演的你，不喜欢为此自杀的你。“值得为电影献身，但不值得为这部”。",还行
文森特九六,2018-08-02,每个角色身上都背负着一股强烈的颓丧和怒气，但当我们试着追溯这些情绪的起源时，却发现一切都是不充分的，是断裂的，甚至是虚假的，是表演的，不相信现实生活中的人们会这样说话，会说这样的话，更不要提角色们的思维方式与做事逻辑了，只能算是一次宝贵却幼稚的偏执表达，剪辑与摄影如此处理是否必要，还是有待商榷。,还行
影志,2018-11-16,“其他事让我感觉更差”、“人活着呀，是不会好的，会一直痛苦…以为换了个地方会好，好个屁啊，在新的地方会继续痛苦” 绝望孤独，电影拍的都还行，就是人物对白太戾气和负能量，生活中有，但不会喊出来…这是导演独特的地方，但也是他偏执的一面。“那边有个更好的地方，但你不能去，你去了，就解决不好这的问题”,推荐
莫莫先生,2018-08-10,恍惚觉得听了一首长长的民谣，冰冷又温暖。每个人都是一座孤岛。少年啊，姑娘啊，老头啊，你们的生活是一团乱麻啊。,推荐
无耻不混蛋,2018-08-03,感觉这电影，就是一词：虚无。虚无少年，虚无青年，虚无老年。人生毫无意义，不值一提。懒得再过下去。甚至可以说，这部电影是能描绘我们这个时代，真正的“丧”痛，最精准的也可能是唯一的一部影像作品。,力荐
基瑞尔,2018-07-21,明明只是一天一夜，却融进了太多不可言说的悲伤与困苦--女孩和母亲关系爆发式的失控；老头孑然一身的生活...融合了圣歌的片尾曲和毽子才把人拉出这份泥淖式的情绪。电影之外，会更加思索他所留下的文字；也会一直记得这个在西宁的夏天，听章宇泣不成声说这是胡波“开垦世界的方式”，听编辑追思这个灵魂曾经有过的一生。这是影像力量所带来的余波。,力荐
阿柴呀,2018-08-07,跟学生作业似的 为什么大家都不好意思打低分？,较差
文桂兒,2018-03-24,用四个小时讲了一个全是屎世界。当人们什么都不相信的时候，没有事情会是好的，会是有希望的。2.5四舍五入,还行
無邊無際,2018-02-28,“那個大象，他媽的就坐那兒！”作為一個年輕導演處女作長片，導演走得太悲哀，他應該像電影裡最後那一點善一樣與惡和絕望奉陪到底。貝拉塔爾➕電影版《殺死那個石家莊人》。,推荐
剃刀的锋利,2018-06-27,一部看完有后遗症的电影，缓了好多天，再看别的电影还是索然无味。四个小时一气呵成，天生的导演，天才的控制力。几段长镜头，有逻辑，有情绪，有节奏。别说剪成两小时了，十分钟都他妈不该剪。还是设一个标签吧，但这标签里不会再有第二部电影了。,力荐
黄小米,2018-04-09,生命就是麻烦，彼岸也不过如此。但胡波并不显得虚无或中二，半因表演半因饱满的原创性。结尾让我想到话剧《耶路撒冷》，一样震撼。并且温暖。即使他自己不信，也还是尽可能留下一点光。唯一的bug是彭彭的毽子功，这样都能得奖？,力荐
babydog不Muyan,2018-01-21,"naïf?oui,mais quelle naïveté prodigieuse!|20180220Berlinale影院重看（新音乐减分",推荐
晚不安,2018-08-06,华语影坛不可多得的勇敢之作，胡波显然是一个未来可期的新作者。可以肯定的是，如果剪成两个小时，这部电影就不成立了。连绵的长镜头（调度手法）和虚焦（美学观念），以及导演以死捍卫的完整性，都是为了让观众尽可能沉浸在绝望的情绪中，从而切身体会人物的命运。美中不足的是，当电影体量相较小说文本扩容以后，以多起死亡串联的戏剧性稍显刻意，冲淡了原作中弥漫的虚无感，但又用影像空间对此进行弥补。总的来说，是一部有后劲的电影——后劲不在于生命的沉沦，而在于微茫的希望。不只因为去往满洲里这个荒诞行径所具有的隐秘的暖意，更因为“那边”再好也要留在“这边”解决问题的正向态度。这种面对艺术与生活的决绝与积极，将是我们今后不断怀念胡波的原因。,推荐
Jason_波波,2018-02-23,2018 BERLINALE 第三发！人生首次在影院一动不动看了4小时，还是在第一排。手持单机长镜头，大光圈特写不补光，导演冒着穿帮和画面黑成一片的风险在处女作中“肆意”炫技挑战演员的演技，而这一切都在高度的临场观感上带给了观影者实打实的体验。毫无疑问导演是卓越的，替来到现场的母亲和中国电影惋惜,推荐
name,datetiem,text,rate
殇潮|Enigma,2018-08-10,没有营养的丧逼电影，诉说一群轴逼互相伤害的故事，然鹅我并没有兴趣知道,较差
黑狗成,2018-07-09,阳光消散的日子。,推荐
朱马查,2018-07-23,快到隧道尽头光亮了，硬是停下来坐下来，让我们理论理论。我不跟你走，可我不愿意看你坐这儿。,还行
阿稚,2018-11-17,一部情绪压制了技术瑕疵的遗珠，愤怒、偏执、无望。导演是颗原石，可惜再没机会打磨了，也许他眼中的世界就是不会好了的吧。恭喜大象，恭喜彭昱畅和章宇。今晚金马故事多。★★★☆,推荐
Colman,2018-03-27,对彭昱畅简直路转粉,推荐
寒枝雀静,2018-08-06,C / 棍棒放下又拾起，解释欲言而又多余，包括始终控制着凝视的视角、距离与时间的长镜头，都引而不发地构成一种关于暴力的修辞。相比影像的强大统治力文本的缺陷反而明显许多。其弊病不在于是否符合现实逻辑，而在于无法为这一切人物同质化的虚无状态创设足够有说服力的情境——哪怕构造一个更具魔幻色彩的情境，也可能比现在这个“现实”的情境更真实。尽管导演的目的应是一种“完成时”，观众却总需要一定程度的“进行时”作为理解的潜在基础。多线程的叙事结构也一定程度上稀释了这种力量感，个人的确会期待更精简更凝聚的版本。,推荐
HarperDie,2018-02-21,两星半。胡迁230分钟影像上的探索，对华语片有着极高价值。四条主线相互交叉，描摹人性悲哀。然而后期工作未完成只是部分问题，台词书面语与口语混杂不清，对话为配合叙事节奏造成的不适衬都颇为明显。人物意图某种程度上像是导演看待世界的心情碎片集合，黑暗、看不到多少希望。,还行
豆瓣想删谁删谁,2018-06-11,台词可以全部截了发豆瓣！生活就是一个垃圾堆，每天都会堆一堆的垃圾，不停的清理了还是会有垃圾不停冒出来,推荐
么么哒,2018-11-18,实至名归很优秀，恭喜,推荐
Hornykid,2018-09-27,能理解王小帅让他把片儿剪短时候的失望和愤怒。,较差
杨三疯,2018-09-15,对不起胡波，我不喜欢却认真看完。片子截取了现今老中青三代，对他们的集体疏离、集体丧和集体无理进行批判，所有人物都没什么礼貌而言，纵然是这狗逼的世界充满着狗逼的人，但太多矫情和说教成份，让文本想要的立意肤浅了不少，也毁了独特的视觉呈现风格。抛开低成本、作者性和独特风格外问题很大（就我看的版本）：1摄影打光变焦问题多2长镜头使正反打消失但后脑勺比正脸多3文本台词硬伤和尬，笑场几次4女主餐厅幽会似乎剪辑硬伤54s店老板儿子上全市最烂中学？这是最美好愿望6买票情节硬伤7无效剧情多8踢键子也是硬伤……但这一切硬伤都随着夜晚几声大象叫戛然而止，又开始喜欢。,较差
迟迟,2018-07-23,长镜头大特写，四条线在尾声汇合之后才有了全景。“爱是沉默着行进与牺牲”，在极度压抑的四个小时内勃发出向死而生的激昂。还是有些青涩，角色的对白都像一个人说的，文学性太强而掩盖视听，就是胡波的小说变成了影像。声音很好但有的配乐进得怪怪的。胡波的母亲在现场，而故事里就有丧子的母亲。,推荐
Debussy,2018-09-28,首先，要表达对导演十二分的哀悼和敬意。但这片子的质量，你非说比托米韦素的房间高明到哪去我也没办法～我是个实诚人，衷心希望大家在艺术评论这件事上也都实诚一点～,很差
小熊QQ,2018-09-04,真诚和才华是有的，但满满的恶意与怨气让人喜欢不一起来。死于青春期，未知的恐惧，幻想的破灭，经验的不足，自以为是一叶障目，青春荷尔蒙的分泌，成长的疼痛，无处安放的冲动与热情。,较差
zzy花岗岩,2018-09-23,丧到骨子里，看的我心烦意乱...,推荐
津五渡,2018-08-06,又是一片苍茫，又是无爱的狗13的世界。老人、孩子、长大的孩子，各有各的无爱境遇，所遇尽皆虚伪，“暴力”假“亲人”身份以行，压得人透不过气来。电影虽然戏剧一些，但没有让人感到失真。影片也没有完全陷入绝望，借老人之口告诉我们，心中要有个美好的“那边”，那边大象席地而坐，那边是希望，但要不去那边才能解决好“这边”的问题。这才是人生。这番话也让我觉得胡波不是没有思想的悲观。比《血观音》好，放去年血观音能拿金马，那《大象》也能。,力荐
北岛淳子,2018-11-12,满满的个人意志，但这世上有很多人真的就是这样厌世，这个世界也真的常常这样充满毁灭性。电影不在讲故事，是在讲情绪；不是拍人物，而是拍内心的状态；甚至根本就不存在绝望，而是连绝望都不能拥有，只能选择呼吸，选择冷冷地接受。电影里的氛围和戏院里的冷气一样，看得人手脚冰凉。极度压抑、冰冷的致郁电影。世界是一片荒原，脚下踩着石头和烂泥，头顶是灰茫一片，天上明明有光，但却照不到地上。活着就是巨大的麻烦，活着就是剧烈的痛苦——电影用一个漫长而冷酷的白昼，写下两行醒目的大字。对待残酷现实施加的暴行，如果不用暴力反抗，就只能被淹没，只能坠落，是人类的愚昧、丑陋、险恶和种种罪孽逼迫我们，而有一只大象的满洲里是世间唯一最后的救赎。纪实般的镜头抹掉了演员身上的表演痕迹，彭昱畅真是让人刮目相看。,推荐
诸恶莫作,2018-08-02,从电影的观点出发，胡波极其狭隘且极端，不寻出口不懂反抗。即便他现在活着，以后也是必死无疑。就电影本身来看，影像的表达应该是一种手段，而不是目的。所谓的真实其实并非真实，导演主观的操控，把客观一切抹杀。废镜太多，当然这是导演的决定无可厚非。,还行
盲忙,2018-11-13,看看周围，每个人都活着，但他们的心已经死了。生猛，粗砺，看似漫不经心的讲述，实则是十分精妙的布局，就像建造了一个蜿蜒曲折的迷宫，将中国人形形色色的愁苦都小心地隐藏其中。撕开灰暗空气中的雾霾，逃到有大象低吼的地方去，可沉积在心中的霾，又要怎么才能散的去？,力荐
电个爆炸头,2018-11-14,电影过长，存在大量废戏，表演及对白的生硬感更是让人如坐针毡，但如此长度既是它的缺点，也在无意间成为了某种辅助，以长度增加密度，恰好让情绪的感染更加渗入，加之以全片昏暗的光线使用，戾气，暴躁，阴郁，怨怒，苦涩等厌世感也由此朝周遭四处逃逸般弥漫开来，最终流窜到城市的荒原之外，流窜到大象的低鸣面前，此时你又兀自发现了《东邪西毒》中那边的山的代指：事实上，生活不在别处，此处和别处一样糟糕透顶，痛苦是大面积的，满洲里的那只大象其实就是自己。而我又相信，片中的人物早就明白了这一点，他们始终决定要来到大象面前，不是因为逃避，不是要在此找到希望，而是基于另外一个理由，我固然理解这种理由是什么，却不能赞同这样寻找理由的方式（影片的拍摄方式），它太过压抑了，太过不成熟了，而这本来是导演的相反面目才对。,还行
name,datetiem,text,rate
饮歌,2018-09-13,最终，我们都成了那头席地而坐的大象，生活就是那座动物园，现实就是那个一直拿着棍子抽打我们的人，而满洲里则是那个永远到不了的、可能如“地狱”般的天堂；无论我们选择面对、逃避还是毁灭，都无法改变周遭一切可憎的面目。230分钟，是胡波的偏执，更是我们的幸运。,力荐
yangzilan,2018-11-19,昨天看了一下，很深刻，剧情不错。难怪得了金马奖最佳剧情片。,力荐
superose,2018-03-24,在匮乏的制作成本下达到了非常高的完成度 精妙的台词设计 糟糕的录音 在“还有更好的办法吗”中一路向下的所有人 三个主角少年青年老年可能也是一个人 很抱歉看不到导演的下一部作品 希望金马看到你,力荐
